"","Page Title","Description","Reference","Extent","Level","Languages","Scripts","Creation date","Legal","ImgSrc"
"837","Rāmāyaṇa Saṅgrahada","

        Literature. 1 Printed Book. Original reference number: 11724.

                  
            
              
              View images from this file (100)
            
          
              ","EAP673/1/837","100 TIFF images","File","Kannada","Kannada","1915","Access is for research purposes only.","https://images.eap.bl.uk/EAP673/EAP673_1_837/1.jp2/full/!600,300/0/default.jpg"
"838","Śabdānu Śāsana","

        History. 1 Printed Book. Original reference number: 11727.

                  
            
              
              View images from this file (536)
            
          
              ","EAP673/1/838","536 TIFF images","File","Kannada","Kannada","1908","Access is for research purposes only.","https://images.eap.bl.uk/EAP673/EAP673_1_838/1.jp2/full/!600,300/0/default.jpg"
"839","Prīm Rōjavijayaṁ","

        General. 1 Printed Book. Original reference number: 11765.

                  
            
              
              View images from this file (234)
            
          
              ","EAP673/1/839","234 TIFF images","File","Kannada","Kannada","1913","Access is for research purposes only.","https://images.eap.bl.uk/EAP673/EAP673_1_839/1.jp2/full/!600,300/0/default.jpg"
"840","Śaraṇa Līlāmr̥Tavu","

        Literature. 1 Printed Book. Original reference number: 13295.

                  
            
              
              View images from this file (284)
            
          
              ","EAP673/1/840","284 TIFF images","File","Kannada","Kannada","1910","Access is for research purposes only.","https://images.eap.bl.uk/EAP673/EAP673_1_840/1.jp2/full/!600,300/0/default.jpg"
"841","Anubhavāmr̥Tavu","

        General. 1 Printed Book. Original reference number: 14298.

                  
            
              
              View images from this file (332)
            
          
              ","EAP673/1/841","332 TIFF images","File","Kannada","Kannada","1914","Access is for research purposes only.","https://images.eap.bl.uk/EAP673/EAP673_1_841/1.jp2/full/!600,300/0/default.jpg"
"842","Karnāṭaka Kavi Caritre - Vol. 1","

        Literature. 1 Printed Book. Original reference number: 14637.

                  
            
              
              View images from this file (468)
            
          
              ","EAP673/1/842","468 TIFF images","File","Kannada","Kannada","1907","Access is for research purposes only.","https://images.eap.bl.uk/EAP673/EAP673_1_842/1.jp2/full/!600,300/0/default.jpg"
"843","Mahābhārata Saṅgraha Udyōgaparva Bhāga -2","

        Literature. 1 Printed Book. Original reference number: 16657.

                  
            
              
              View images from this file (256)
            
          
              ","EAP673/1/843","256 TIFF images","File","Kannada","Kannada","1919","Access is for research purposes only.","https://images.eap.bl.uk/EAP673/EAP673_1_843/1.jp2/full/!600,300/0/default.jpg"
"844","Kannaḍa Jaimini Bhārata","

        Literature. 1 Printed Book. Original reference number: 22080.

                  
            
              
              View images from this file (48)
            
          
              ","EAP673/1/844","48 TIFF images","File","Kannada","Kannada","1922","Access is for research purposes only.","https://images.eap.bl.uk/EAP673/EAP673_1_844/1.jp2/full/!600,300/0/default.jpg"
"845","Mairāvaṇana Kāḷaga","

        Literature. 1 Printed Book. Original reference number: 22082.

                  
            
              
              View images from this file (32)
            
          
              ","EAP673/1/845","32 TIFF images","File","Kannada","Kannada","1922","Access is for research purposes only.","https://images.eap.bl.uk/EAP673/EAP673_1_845/1.jp2/full/!600,300/0/default.jpg"
"846","Rāmacandracarita Purāṇada Nighaṇṭu","

        Literature. 1 Printed Book. Original reference number: 22099.

                  
            
              
              View images from this file (30)
            
          
              ","EAP673/1/846","30 TIFF images","File","Kannada","Kannada","1921","Access is for research purposes only.","https://images.eap.bl.uk/EAP673/EAP673_1_846/1.jp2/full/!600,300/0/default.jpg"
